f:mean within-blend semantic similarity	f:mean importance of vital relations	f:input spaces balance	f:mapping mix	f:blended concepts	f:mean of words per concept	d:graphs vertices	d:graphs edges	f:novelty	g:blend space
-0.07105812704651032	-0.11	-0.75	-0.6666666666666666	0.25	1.0	4	3	1.0	biology|sufism,influencedby,ahmad_sirhindi;chemistry,antonym,biology|sufism;chemistry,influencedby,margaret_naumburg;
-0.07105812704651032	-0.085	-1.0	-1.0	0.0	1.0	3	2	0.0	cat,influencedby,joy;joy,antonym,bad;
-0.07105812704651032	-0.085	-1.0	-1.0	0.0	1.0	3	2	0.5	cat,influencedby,joy;joy,antonym,relax;
-0.07105812704651032	-0.085	-1.0	-0.5	0.6666666666666666	1.0	3	2	1.0	murder|habit,antonym,self|one_time;agora,influencedby,self|one_time;
-0.07105812704651032	-0.085	-1.0	-0.5	0.6666666666666666	1.0	3	2	1.0	religion|quran,antonym,none;aunia_kahn|abdussalam_puthige,influencedby,religion|quran;
-0.07105812704651032	-0.085	-1.0	-0.5	0.6666666666666666	1.0	3	2	1.0	symmetry|feminism,antonym,asymmetry|masculism;symmetry|feminism,influencedby,eva_hesse;
-0.07105812704651032	-0.085	-1.0	-0.5	0.6666666666666666	1.4	3	2	1.0	michel_de_montaigne|otto_weininger,influencedby,heraclitus|jesus;lord,antonym,heraclitus|jesus;
-0.07105812704651032	-0.085	-1.0	-0.5	0.6666666666666666	1.6	3	2	1.0	paint|ernest_hemingway,antonym,use_brush;julio_rosado_del_valle|derek_marlowe,influencedby,paint|ernest_hemingway;
-0.07105812704651032	-0.085	-1.0	-0.5	0.6666666666666666	1.6	3	2	1.0	paint|ernest_hemingway,antonym,wall_paper;julio_rosado_del_valle|derek_marlowe,influencedby,paint|ernest_hemingway;
-0.07105812704651032	-0.085	-1.0	-0.0	0.3333333333333333	1.0	3	2	1.0	cobol,influencedby,two_floor|fact;two_floor|fact,antonym,fable;
-0.07105812704651032	-0.085	-1.0	-0.0	0.3333333333333333	1.0	3	2	0.5	take_course|cake,antonym,candle;candle,influencedby,relax_ng;
-0.07105812704651032	-0.085	-1.0	-0.0	0.6666666666666666	1.0	3	2	1.0	joy,antonym,misery|incognizance;cat|disinterested_student,influencedby,joy;
-0.07105812704651032	-0.085	-0.6666666666666666	-1.0	0.3333333333333333	1.5	3	2	1.0	long,antonym,kernel;kernel,influencedby,flannery_o_connor|scheme;
-0.07105812704651032	-0.085	-0.6666666666666666	-1.0	0.3333333333333333	1.0	3	2	1.0	mandatory,antonym,joy;border|cat,influencedby,joy;
-0.07105812704651032	-0.085	-0.6666666666666666	-1.0	0.3333333333333333	1.0	3	2	1.0	chemistry,antonym,biology|sufism;chemistry,influencedby,margaret_naumburg;
-0.07105812704651032	-0.085	-0.6666666666666666	-0.5	0.3333333333333333	1.0	3	2	1.0	tom_hodgkinson,influencedby,crass|yours;crass|yours,antonym,delicate;
-0.07105812704651032	-0.085	-0.6666666666666666	-0.5	0.3333333333333333	1.0	3	2	1.0	self|owner,antonym,buyer;io,influencedby,self|owner;
-0.07105812704651032	-0.085	-0.5	-1.0	0.6666666666666666	1.0	3	2	1.0	chemistry,influencedby,robert_boyle|paul_bert;chemistry,antonym,physic|physiology;
-0.07105812704651032	-0.085	-0.5	-0.5	0.0	1.6666666666666667	3	2	0.5	fairy_tale,antonym,student;valya_dudycz_lupescu,influencedby,fairy_tale;
-0.07105812704651032	-0.085	-0.5	-0.5	0.0	1.0	3	2	0.5	vodka,antonym,candle;candle,influencedby,x_query;
-0.07105812704651032	-0.085	-0.5	-0.5	0.0	1.0	3	2	0.5	cool,influencedby,ml;camp,antonym,cool;
-0.07105812704651032	-0.085	-0.5	-0.5	0.0	1.0	3	2	0.5	cool,influencedby,sather;give_help,antonym,cool;
-0.07105812704651032	-0.085	-0.5	-0.5	0.0	1.0	3	2	0.5	mandatory,antonym,joy;trith,influencedby,joy;
-0.07105812704651032	-0.085	-0.5	-0.5	0.0	1.0	3	2	0.0	cat,influencedby,joy;order,antonym,joy;
-0.07105812704651032	-0.085	-0.5	-0.5	0.0	1.0	3	2	0.5	cool,antonym,become_inebriate;cool,influencedby,pascal;
-0.07105812704651032	-0.085	-0.25	-0.5	0.3333333333333333	1.0	3	2	1.0	graham_joyce,antonym,biology;graham_joyce,influencedby,alfred_tarski|frank_herbert;
-0.07105812704651032	-0.06	-0.75	-0.6666666666666666	0.25	1.0	4	3	1.0	border|cat,antonym,unbordered;mandatory,antonym,joy;border|cat,influencedby,joy;
-0.05852553475313856	-0.38999999999999996	-1.0	-0.6666666666666666	0.25	1.0	4	3	0.6666666666666666	vodka,antonym,candle;vodka,madeof,potato|sugar;candle,influencedby,x_query;
-0.05852553475313856	-0.38999999999999996	-1.0	-0.3333333333333333	0.0	1.0	4	3	0.3333333333333333	vodka,antonym,candle;candle,influencedby,x_query;vodka_martini,madeof,vodka;
-0.05852553475313856	-0.38999999999999996	-1.0	-0.0	0.25	1.0	4	3	0.6666666666666666	take_course|cake,antonym,candle;take_course|cake,madeof,ingredient;candle,influencedby,relax_ng;
